Date,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
01/01,1329,1366,1346,1469,1408,1527,1561,1653,1686,1602,1668,1743,1830,1816,1674,1634,1524,1516,1543,1465,1454,1361,1337,1496,1530,1586,1657,1505,1529
02/01,1324,1383,1310,1812,1853,1829,1524,1648,1889,2018,1985,1699,1754,1811,1933,2043,1840,1453,1438,1765,1619,1519,1669,1382,1503,1817,1809,1767,1425
03/01,1707,1392,1319,1807,1903,1953,1944,1570,1667,2077,2137,2164,1797,1683,1595,2060,1952,1757,1452,1565,1881,1784,1796,1526,1495,1651,2005,1825,1703
04/01,1724,1755,1574,1514,1898,1932,1924,2002,1636,1732,2056,2115,2029,2034,1655,2177,1964,1854,1774,1473,1502,1776,1832,1818,1797,1561,1742,1913,1883
05/01,1801,1749,1640,1473,1556,1932,1936,1982,1970,1621,1760,2117,2112,2126,2006,1866,1949,1820,1852,1769,1372,1473,1838,1836,1859,1871,1462,1888,1890
06/01,1741,1762,1649,1781,1527,1730,1909,2064,1997,1970,1698,2155,2112,2027,1906,1670,1730,1818,1810,1879,1656,1308,1570,1820,1827,1813,1899,1631,2047
07/01,1370,1773,1668,1850,1874,1566,1627,2044,1963,2001,1896,1800,2156,2031,1958,1966,1526,1588,1950,1777,1668,1681,1359,1857,1820,1821,1898,1459,1605
08/01,1354,1388,1678,1828,1739,1830,1548,2043,2034,1946,1975,1689,1801,2100,1923,2064,1876,1464,1612,1786,1750,1676,1596,1531,1737,1888,1924,1863,1466
09/01,1722,1398,1395,1848,1790,1921,1860,1672,1956,1959,1982,2070,1742,1774,1981,1979,1949,1750,1496,1859,1644,1674,1703,1406,1470,1855,1868,1827,1718
10/01,1689,1734,1354,1858,1812,1860,1920,1607,1760,1939,2034,2031,2006,1700,1617,2121,1868,1690,1728,1463,1663,1725,1781,1704,1425,1547,1934,1814,1816
11/01,1744,1754,1564,1527,1882,1959,1939,1907,1641,1734,2053,2100,2108,2036,1557,2088,1856,1859,1754,1460,1466,1644,1749,1740,1649,1386,1662,1825,1873
12/01,1694,1678,1663,1533,1491,2027,1983,1809,1829,1610,1705,2127,2042,2074,1980,1782,1978,1873,1822,1800,1295,1453,1743,1703,1759,1770,1483,1834,1840
13/01,1685,1751,1585,1715,1559,1678,1875,1927,1897,1924,1610,2017,2017,2050,1958,1629,1708,1771,1764,1821,1592,1266,1448,1757,1730,1761,1781,1590,1758
14/01,1341,1671,1662,1770,1780,1639,1716,1970,2022,1953,1933,1742,2106,2114,1925,2060,1516,1583,1880,1802,1741,1635,1301,1798,1819,1795,1824,1496,1538
15/01,1331,1402,1541,1815,1763,1889,1540,1930,1985,1952,1954,1712,1711,2106,2017,1990,1892,1463,1543,1887,1816,1582,1609,1417,1734,1803,1811,1674,1421
16/01,1643,1379,1364,1813,1808,1822,1831,1625,1987,2053,1979,2059,1764,1831,1975,1998,1946,1841,1464,1796,1703,1619,1725,1310,1495,1832,1790,1787,1767
17/01,1707,1708,1328,1817,1807,1939,1894,1581,1708,2075,2020,2074,1915,1685,1655,2028,1880,1841,1710,1597,1723,1673,1759,1614,1398,1560,1888,1823,1833
18/01,1631,1612,1569,1400,1807,1905,1886,1898,1600,1680,1951,2091,1995,2016,1580,2003,1910,1855,1786,1529,1495,1698,1752,1693,1700,1473,1576,1916,1839
19/01,1734,1750,1671,1491,1627,1945,1927,1911,1920,1605,1794,2223,2057,2011,1893,1771,1987,1822,1797,1799,1384,1347,1791,1730,1730,1669,1486,1765,1890
